Time,Sequence Number,Event
2.968,96000,send
2.968,96000,transmit
2.976,85000,ack
2.976,97000,send
2.976,97000,transmit
2.984,86000,ack
2.984,98000,send
2.984,98000,transmit
2.992,87000,ack
2.992,99000,send
2.992,99000,transmit
3.0,88000,ack
3.0,100000,send
3.0,100000,transmit
3.008,89000,ack
3.008,101000,send
3.008,101000,transmit
3.016,90000,ack
3.016,102000,send
3.016,103000,send
3.016,102000,transmit
3.024,103000,transmit
3.136,91000,ack
3.136,104000,send
3.136,104000,transmit
3.144,92000,ack
3.144,105000,send
3.144,105000,transmit
3.152,93000,ack
3.152,106000,send
3.152,106000,transmit
3.16,94000,ack
3.16,107000,send
3.16,107000,transmit
3.168,95000,ack
3.168,108000,send
3.168,108000,transmit
3.176,96000,ack
3.176,109000,send
3.176,109000,transmit
3.184,97000,ack
3.184,110000,send
3.184,110000,transmit
3.192,98000,ack
3.192,111000,send
3.192,111000,transmit
3.2,99000,ack
3.2,112000,send
3.2,112000,transmit
3.208,100000,ack
3.208,113000,send
3.208,113000,transmit
3.216,101000,ack
3.216,114000,send
3.216,114000,transmit
3.224,102000,ack
3.224,115000,send
3.224,115000,transmit
3.232,103000,ack
3.232,116000,send
3.232,117000,send
3.232,116000,transmit
3.24,117000,transmit
3.344,104000,ack
3.344,118000,send
3.344,118000,transmit
3.352,105000,ack
3.352,119000,send
3.352,119000,transmit
3.36,106000,ack
3.36,120000,send
3.36,120000,transmit
3.368,107000,ack
3.368,121000,send
3.368,121000,transmit
3.376,108000,ack
3.376,122000,send
3.376,122000,transmit
3.384,109000,ack
3.384,123000,send
3.384,123000,transmit
3.392,110000,ack
3.392,124000,send
3.392,124000,transmit
3.4,111000,ack
3.4,125000,send
3.4,125000,transmit
3.408,112000,ack
3.408,126000,send
3.408,126000,transmit
3.416,113000,ack
3.416,127000,send
3.416,127000,transmit
3.424,114000,ack
3.424,128000,send
3.424,128000,transmit
3.432,115000,ack
3.432,129000,send
3.432,129000,transmit
3.44,116000,ack
3.44,130000,send
3.44,130000,transmit
3.448,117000,ack
3.448,131000,send
3.448,132000,send
3.448,131000,transmit
3.456,132000,transmit
3.552,118000,ack
3.552,133000,send
3.552,133000,transmit
3.56,119000,ack
3.56,134000,send
3.56,134000,transmit
3.568,120000,ack
3.568,135000,send
3.568,135000,transmit
3.576,121000,ack
3.576,136000,send
3.576,136000,transmit
3.584,122000,ack
3.584,137000,send
3.584,137000,transmit
3.592,123000,ack
3.592,138000,send
3.592,138000,transmit
3.6,124000,ack
3.6,139000,send
3.6,139000,transmit
3.608,125000,ack
3.608,140000,send
3.608,140000,transmit
3.616,126000,ack
3.616,141000,send
3.616,141000,transmit
3.624,127000,ack
3.624,142000,send
3.624,142000,transmit
3.632,128000,ack
3.632,143000,send
3.632,143000,transmit
3.64,129000,ack
3.64,144000,send
3.64,144000,transmit
3.648,130000,ack
3.648,145000,send
3.648,145000,transmit
3.656,131000,ack
3.656,146000,send
3.656,146000,transmit
3.664,132000,ack
3.664,147000,send
3.664,148000,send
3.664,147000,transmit
3.672,148000,transmit
3.76,133000,ack
3.76,149000,send
3.76,149000,transmit
3.768,134000,ack
3.768,150000,send
3.768,150000,transmit
3.776,135000,ack
3.776,151000,send
3.776,151000,transmit
3.784,136000,ack
3.784,152000,send
3.784,152000,transmit
3.792,137000,ack
3.792,153000,send
3.792,153000,transmit
3.8,138000,ack
3.8,154000,send
3.8,154000,transmit
3.808,139000,ack
3.808,155000,send
3.808,155000,transmit
3.816,140000,ack
3.816,156000,send
3.816,156000,transmit
3.824,141000,ack
3.824,157000,send
3.824,157000,transmit
3.832,142000,ack
3.832,158000,send
3.832,158000,transmit
3.84,143000,ack
3.84,159000,send
3.84,159000,transmit
3.848,144000,ack
3.848,160000,send
3.848,160000,transmit
3.856,145000,ack
3.856,161000,send
3.856,161000,transmit
3.864,146000,ack
3.864,162000,send
3.864,162000,transmit
3.872,147000,ack
3.872,163000,send
3.872,163000,transmit
3.88,148000,ack
3.88,164000,send
3.88,165000,send
3.88,164000,transmit
3.888,165000,transmit
3.968,149000,ack
3.968,166000,send
3.968,166000,transmit
3.976,150000,ack
3.976,167000,send
3.976,167000,transmit
3.984,151000,ack
3.984,168000,send
3.984,168000,transmit
3.992,152000,ack
3.992,169000,send
3.992,169000,transmit
4.0,153000,ack
4.0,170000,send
4.0,170000,transmit
4.008,154000,ack
4.008,171000,send
4.008,171000,transmit
4.016,155000,ack
4.016,172000,send
4.016,172000,transmit
4.024,156000,ack
4.024,173000,send
4.024,173000,transmit
4.032,157000,ack
4.032,174000,send
4.032,174000,transmit
4.04,158000,ack
4.04,175000,send
4.04,175000,transmit
4.048,159000,ack
4.048,176000,send
4.048,176000,transmit
4.056,160000,ack
4.056,177000,send
4.056,177000,transmit
4.064,161000,ack
4.064,178000,send
4.064,178000,transmit
4.072,162000,ack
4.072,179000,send
4.072,179000,transmit
4.08,163000,ack
4.08,180000,send
4.08,180000,transmit
4.088,164000,ack
4.088,181000,send
4.088,181000,transmit
4.096,165000,ack
4.096,182000,send
4.096,183000,send
4.096,182000,transmit
4.104,183000,transmit
4.176,166000,ack
4.176,184000,send
4.176,184000,transmit
4.184,167000,ack
4.184,185000,send
4.184,185000,transmit
4.192,168000,ack
4.192,186000,send
4.192,186000,transmit
4.2,169000,ack
4.2,187000,send
4.2,187000,transmit
4.208,170000,ack
4.208,188000,send
4.208,188000,transmit
4.216,171000,ack
4.216,189000,send
4.216,189000,transmit
4.224,172000,ack
4.224,190000,send
4.224,190000,transmit
4.232,173000,ack
4.232,191000,send
4.232,191000,transmit
4.24,174000,ack
4.24,192000,send
4.24,192000,transmit
4.248,175000,ack
4.248,193000,send
4.248,193000,transmit
4.256,176000,ack
4.256,194000,send
4.256,194000,transmit
4.264,177000,ack
4.264,195000,send
4.264,195000,transmit
4.272,178000,ack
4.272,196000,send
4.272,196000,transmit
4.28,179000,ack
4.28,197000,send
4.28,197000,transmit
4.288,180000,ack
4.288,198000,send
4.288,198000,transmit
4.296,181000,ack
4.296,199000,send
4.296,199000,transmit
4.304,182000,ack
4.304,200000,send
4.304,200000,transmit
4.312,183000,ack
4.312,201000,send
4.312,202000,send
4.312,201000,transmit
4.32,202000,transmit
4.384,184000,ack
4.384,203000,send
4.384,203000,transmit
4.392,185000,ack
4.392,204000,send
4.392,204000,transmit
4.4,186000,ack
4.4,205000,send
4.4,205000,transmit
4.408,187000,ack
4.408,206000,send
